z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2 
0.01082373046875,12.235751820285538,0.0,1785.5797443773852,0.15946392069919446,0.0035230512058133847,0.03341566909148697,0.2007759773232623,0.0013194491950781425,0.005317683774435219,0.010704628462733417,1.413884980346786e-05,1.0702464280041433e-05,0.7449186996295037
0.0108251953125,12.2460910023519,0.0,1787.2275794731333,0.15932928781834355,0.0035195260278241044,0.033325896589890956,0.20086525483008405,0.0013153221408357617,0.005306776529760272,0.010720415752544019,1.4076711859946273e-05,1.065500123216139e-05,0.7449220764123615
0.010826660156250001,12.25636048408366,0.0,1788.8649849457856,0.15919578740324183,0.003516057058203576,0.03323737741033213,0.20095354091415435,0.0013112133429086998,0.005295868618439863,0.010735950683466753,1.4015331974682033e-05,1.060759897960486e-05,0.744925369037929
0.010828125,12.266561006012564,0.0,1790.4920657888952,0.15906340473125638,0.003512642393527717,0.033150081235480904,0.20104086046275513,0.001307122914627177,0.005284961254749615,0.010751237145450248,1.3954693190552556e-05,1.0560265631078738e-05,0.7449285796309724
0.010829589843749998,12.276693296925282,0.0,1792.1089254021958,0.15893212535064766,0.0035092801932749807,0.03306397860042284,0.20112723761141044,0.0013030509592336203,0.005274055616422254,0.010766278973728389,1.3894779048694315e-05,1.0513008950811064e-05,0.7449317102538888
0.010831054687499998,12.2867580740305,0.0,1793.715665613992,0.1588019350751901,0.003505968677939877,0.032979040871067226,0.20121269576455209,0.0012989975702583866,0.005263152845441346,0.010781079949421278,1.3835573569817627e-05,1.0465836351063805e-05,0.7449347629077757
0.010832519531249998,12.296756043121551,0.0,1795.3123867029394,0.15867281997893842,0.003502706127199238,0.032895240223078,0.2012972576155752,0.0012949628318834748,0.005252254048805024,0.010795643800233371,1.3777061236030258e-05,1.0418754879818874e-05,0.7449377395334827
0.010833984374999998,12.306687898734756,0.0,1796.8991874192088,0.1585447663911382,0.0034994908781304885,0.03281254962132085,0.20138094516629235,0.0012909468192944724,0.005241360299258744,0.010809974201255035,1.3719226973429332e-05,1.0371771202103203e-05,0.7449406420126415
0.010835449218749998,12.316554324303446,0.0,1798.4761650050004,0.1584177608912795,0.003496321323481162,0.03273094279982244,0.20146377974579202,0.0012869495990209335,0.005230472635995987,0.01082407477587428,1.3662056135917035e-05,1.0324891572928265e-05,0.7449434721686694
0.010836914062499998,12.326355992294454,0.0,1800.043415214394,0.158291790304459,0.003493195909985146,0.03265039424220133,0.20154578202848106,0.0012829712292640285,0.005219592065319571,0.01083794909679515,1.3605534490964034e-05,1.0278121799159162e-05,0.7449462317669705
0.010839843749999998,12.345767929843163,0.0,1803.1490291843652,0.15804289931862264,0.0034870756511006383,0.032492470474444264,0.20170727647066683,0.0012750746087490552,0.005197864975738456,0.010865017429486664,1.3494448701401482e-05,1.0184971228080166e-05,0.7449515409651876
0.010842773437499998,12.364932541587779,0.0,1806.217382989271,0.15779794603664682,0.0034811137240765015,0.03233842292026781,0.2018657187655882,0.0012672536653246611,0.005176177415563106,0.010891231782797418,1.3385764811999964e-05,1.0092327089022995e-05,0.7449566036297803
0.010845703124999998,12.383854973596328,0.0,1809.2492117614845,0.15755683202858342,0.0034752995075861596,0.03218807188300174,0.2020212535088404,0.0012595086081040546,0.005154536192232294,0.010916617926032211,1.3279388227732745e-05,1.0000234887807454e-05,0.7449614327463827
0.010848632812499998,12.402540223894666,0.0,1812.2452303566479,0.15731946220010937,0.0034696230837407077,0.03204124737485037,0.20217401680839303,0.0012518395431430397,0.005132947694641707,0.01094120089919333,1.3175228454718925e-05,9.908735301774711e-06,0.7449660406275725
0.010851562499999998,12.420993147577297,0.0,1815.2061340522025,0.1570857446544864,0.0034640751940198207,0.0318977885996279,0.20232413679095027,0.001244246482013514,0.005111417911612354,0.010965005009917298,1.3073199312279685e-05,9.817864870869067e-06,0.744970438942963
0.010854492187499998,12.439218461711512,0.0,1818.1325992143602,0.15685559056128784,0.0034586471977809184,0.03175754345957499,0.20247173407912458,0.0012367293497948823,0.005089952449781221,0.010988053835135986,1.2973218948375202e-05,9.727656495597866e-06,0.7449746387486469
0.010857421874999999,12.457220750041616,0.0,1821.0252839354926,0.1566289140315145,0.003453331033210535,0.03162036808563342,0.20261692224101763,0.001229287992519766,0.005068556550927151,0.011010370226531771,1.2875209743102274e-05,9.63813980964673e-06,0.7449786505158865
0.010860351562499999,12.475004467504311,0.0,1823.8848286437262,0.15640563199874172,0.0034481191805886004,0.03148612639049914,0.2027598082137324,0.0012219221841081433,0.005047235108741346,0.01103197631903153,1.2779098150772341e-05,9.549341470709959e-06,0.7449824841589531
